STATION,DATECode,Year,MonDay,Month,Day,Time,Date,HPCP
CDAIR,20100124,2010,0124,01,24,19:00:00,01/24/2010,1
CDAIR,20100124,2010,0124,01,24,20:00:00,01/24/2010,11
CDAIR,20100124,2010,0124,01,24,21:00:00,01/24/2010,13
CDAIR,20100124,2010,0124,01,24,22:00:00,01/24/2010,19
CDAIR,20100124,2010,0124,01,24,23:00:00,01/24/2010,73
CDAIR,20100125,2010,0125,01,25,0:00:00,01/25/2010,13
CDAIR,20100125,2010,0125,01,25,1:00:00,01/25/2010,31
CDAIR,20100125,2010,0125,01,25,2:00:00,01/25/2010,0
CDAIR,20100125,2010,0125,01,25,5:00:00,01/25/2010,0
CDAIR,20100125,2010,0125,01,25,6:00:00,01/25/2010,0
CDAIR,20100129,2010,0129,01,29,16:00:00,01/29/2010,0
CDAIR,20100129,2010,0129,01,29,17:00:00,01/29/2010,1
CDAIR,20100129,2010,0129,01,29,18:00:00,01/29/2010,2
CDAIR,20100129,2010,0129,01,29,19:00:00,01/29/2010,3
CDAIR,20100129,2010,0129,01,29,20:00:00,01/29/2010,3
CDAIR,20100129,2010,0129,01,29,21:00:00,01/29/2010,2
CDAIR,20100129,2010,0129,01,29,22:00:00,01/29/2010,0
CDAIR,20100129,2010,0129,01,29,23:00:00,01/29/2010,2
CDAIR,20100130,2010,0130,01,30,0:00:00,01/30/2010,0
CDAIR,20100130,2010,0130,01,30,1:00:00,01/30/2010,1
CDAIR,20100130,2010,0130,01,30,2:00:00,01/30/2010,1
CDAIR,20100130,2010,0130,01,30,3:00:00,01/30/2010,4
CDAIR,20100130,2010,0130,01,30,4:00:00,01/30/2010,7
CDAIR,20100130,2010,0130,01,30,5:00:00,01/30/2010,9
CDAIR,20100130,2010,0130,01,30,6:00:00,01/30/2010,7
CDAIR,20100130,2010,0130,01,30,7:00:00,01/30/2010,10
CDAIR,20100130,2010,0130,01,30,8:00:00,01/30/2010,6
CDAIR,20100130,2010,0130,01,30,9:00:00,01/30/2010,2
CDAIR,20100130,2010,0130,01,30,10:00:00,01/30/2010,5
CDAIR,20100130,2010,0130,01,30,11:00:00,01/30/2010,1
CDAIR,20100130,2010,0130,01,30,12:00:00,01/30/2010,1
CDAIR,20100130,2010,0130,01,30,13:00:00,01/30/2010,0
CDAIR,20100130,2010,0130,01,30,14:00:00,01/30/2010,0
CDAIR,20100130,2010,0130,01,30,19:00:00,01/30/2010,0
CDAIR,20100130,2010,0130,01,30,20:00:00,01/30/2010,1
CDAIR,20100130,2010,0130,01,30,21:00:00,01/30/2010,0
CDAIR,20100201,2010,0201,02,01,1:00:00,02/01/2010,0
CDAIR,20100202,2010,0202,02,02,7:00:00,02/02/2010,0
CDAIR,20100202,2010,0202,02,02,8:00:00,02/02/2010,7
CDAIR,20100202,2010,0202,02,02,9:00:00,02/02/2010,13
CDAIR,20100202,2010,0202,02,02,10:00:00,02/02/2010,12
CDAIR,20100202,2010,0202,02,02,11:00:00,02/02/2010,8
CDAIR,20100202,2010,0202,02,02,12:00:00,02/02/2010,3
CDAIR,20100202,2010,0202,02,02,13:00:00,02/02/2010,0
CDAIR,20100202,2010,0202,02,02,14:00:00,02/02/2010,1
CDAIR,20100202,2010,0202,02,02,15:00:00,02/02/2010,1
CDAIR,20100202,2010,0202,02,02,16:00:00,02/02/2010,1
CDAIR,20100202,2010,0202,02,02,17:00:00,02/02/2010,2
CDAIR,20100202,2010,0202,02,02,18:00:00,02/02/2010,2
CDAIR,20100202,2010,0202,02,02,19:00:00,02/02/2010,1
CDAIR,20100202,2010,0202,02,02,20:00:00,02/02/2010,1
CDAIR,20100204,2010,0204,02,04,18:00:00,02/04/2010,0
CDAIR,20100204,2010,0204,02,04,19:00:00,02/04/2010,1
CDAIR,20100204,2010,0204,02,04,20:00:00,02/04/2010,2
CDAIR,20100204,2010,0204,02,04,21:00:00,02/04/2010,2
CDAIR,20100204,2010,0204,02,04,22:00:00,02/04/2010,0
CDAIR,20100204,2010,0204,02,04,23:00:00,02/04/2010,0
CDAIR,20100205,2010,0205,02,05,0:00:00,02/05/2010,2
CDAIR,20100205,2010,0205,02,05,1:00:00,02/05/2010,4
CDAIR,20100205,2010,0205,02,05,2:00:00,02/05/2010,2
CDAIR,20100205,2010,0205,02,05,3:00:00,02/05/2010,2
CDAIR,20100205,2010,0205,02,05,4:00:00,02/05/2010,5
CDAIR,20100205,2010,0205,02,05,5:00:00,02/05/2010,9
CDAIR,20100205,2010,0205,02,05,6:00:00,02/05/2010,8
CDAIR,20100205,2010,0205,02,05,7:00:00,02/05/2010,11
CDAIR,20100205,2010,0205,02,05,8:00:00,02/05/2010,13
CDAIR,20100205,2010,0205,02,05,9:00:00,02/05/2010,18
CDAIR,20100205,2010,0205,02,05,10:00:00,02/05/2010,20
CDAIR,20100205,2010,0205,02,05,11:00:00,02/05/2010,14
CDAIR,20100205,2010,0205,02,05,12:00:00,02/05/2010,15
CDAIR,20100205,2010,0205,02,05,13:00:00,02/05/2010,18
CDAIR,20100205,2010,0205,02,05,14:00:00,02/05/2010,22
CDAIR,20100205,2010,0205,02,05,15:00:00,02/05/2010,12
CDAIR,20100205,2010,0205,02,05,16:00:00,02/05/2010,3
CDAIR,20100205,2010,0205,02,05,17:00:00,02/05/2010,1
CDAIR,20100205,2010,0205,02,05,18:00:00,02/05/2010,1
CDAIR,20100205,2010,0205,02,05,19:00:00,02/05/2010,3
CDAIR,20100205,2010,0205,02,05,20:00:00,02/05/2010,13
CDAIR,20100205,2010,0205,02,05,21:00:00,02/05/2010,5
CDAIR,20100205,2010,0205,02,05,22:00:00,02/05/2010,1
CDAIR,20100206,2010,0206,02,06,1:00:00,02/06/2010,0
CDAIR,20100206,2010,0206,02,06,2:00:00,02/06/2010,0
CDAIR,20100206,2010,0206,02,06,3:00:00,02/06/2010,0
CDAIR,20100206,2010,0206,02,06,4:00:00,02/06/2010,0
CDAIR,20100206,2010,0206,02,06,5:00:00,02/06/2010,0
CDAIR,20100206,2010,0206,02,06,23:00:00,02/06/2010,0
CDAIR,20100209,2010,0209,02,09,10:00:00,02/09/2010,2
CDAIR,20100209,2010,0209,02,09,11:00:00,02/09/2010,5
CDAIR,20100209,2010,0209,02,09,12:00:00,02/09/2010,2
CDAIR,20100209,2010,0209,02,09,13:00:00,02/09/2010,0
CDAIR,20100209,2010,0209,02,09,15:00:00,02/09/2010,0
CDAIR,20100209,2010,0209,02,09,16:00:00,02/09/2010,0
CDAIR,20100209,2010,0209,02,09,17:00:00,02/09/2010,0
CDAIR,20100209,2010,0209,02,09,19:00:00,02/09/2010,0
CDAIR,20100209,2010,0209,02,09,20:00:00,02/09/2010,0
CDAIR,20100209,2010,0209,02,09,23:00:00,02/09/2010,1
CDAIR,20100210,2010,0210,02,10,0:00:00,02/10/2010,1
CDAIR,20100210,2010,0210,02,10,1:00:00,02/10/2010,0
CDAIR,20100210,2010,0210,02,10,2:00:00,02/10/2010,0
CDAIR,20100212,2010,0212,02,12,17:00:00,02/12/2010,0
CDAIR,20100212,2010,0212,02,12,18:00:00,02/12/2010,1
CDAIR,20100212,2010,0212,02,12,19:00:00,02/12/2010,6
CDAIR,20100212,2010,0212,02,12,20:00:00,02/12/2010,6
CDAIR,20100212,2010,0212,02,12,21:00:00,02/12/2010,4
CDAIR,20100212,2010,0212,02,12,22:00:00,02/12/2010,1
CDAIR,20100212,2010,0212,02,12,23:00:00,02/12/2010,1
CDAIR,20100213,2010,0213,02,13,0:00:00,02/13/2010,2
CDAIR,20100213,2010,0213,02,13,1:00:00,02/13/2010,2
CDAIR,20100213,2010,0213,02,13,2:00:00,02/13/2010,0
CDAIR,20100213,2010,0213,02,13,3:00:00,02/13/2010,0
CDAIR,20100213,2010,0213,02,13,4:00:00,02/13/2010,0
CDAIR,20100215,2010,0215,02,15,8:00:00,02/15/2010,0
CDAIR,20100215,2010,0215,02,15,9:00:00,02/15/2010,2
CDAIR,20100215,2010,0215,02,15,10:00:00,02/15/2010,7
CDAIR,20100215,2010,0215,02,15,11:00:00,02/15/2010,8
CDAIR,20100215,2010,0215,02,15,12:00:00,02/15/2010,2
CDAIR,20100222,2010,0222,02,22,6:00:00,02/22/2010,0
CDAIR,20100222,2010,0222,02,22,7:00:00,02/22/2010,1
CDAIR,20100222,2010,0222,02,22,8:00:00,02/22/2010,33
CDAIR,20100222,2010,0222,02,22,9:00:00,02/22/2010,19
CDAIR,20100222,2010,0222,02,22,10:00:00,02/22/2010,0
CDAIR,20100222,2010,0222,02,22,11:00:00,02/22/2010,0
CDAIR,20100223,2010,0223,02,23,15:00:00,02/23/2010,0
CDAIR,20100223,2010,0223,02,23,16:00:00,02/23/2010,1
CDAIR,20100223,2010,0223,02,23,17:00:00,02/23/2010,0
CDAIR,20100223,2010,0223,02,23,19:00:00,02/23/2010,0
CDAIR,20100224,2010,0224,02,24,8:00:00,02/24/2010,1
CDAIR,20100224,2010,0224,02,24,9:00:00,02/24/2010,1
CDAIR,20100224,2010,0224,02,24,10:00:00,02/24/2010,0
CDAIR,20100224,2010,0224,02,24,11:00:00,02/24/2010,4
CDAIR,20100224,2010,0224,02,24,12:00:00,02/24/2010,2
CDAIR,20100224,2010,0224,02,24,13:00:00,02/24/2010,0
CDAIR,20100224,2010,0224,02,24,14:00:00,02/24/2010,1
CDAIR,20100224,2010,0224,02,24,15:00:00,02/24/2010,2
CDAIR,20100224,2010,0224,02,24,16:00:00,02/24/2010,0
CDAIR,20100224,2010,0224,02,24,17:00:00,02/24/2010,1
CDAIR,20100224,2010,0224,02,24,20:00:00,02/24/2010,0
CDAIR,20100224,2010,0224,02,24,21:00:00,02/24/2010,0
CDAIR,20100224,2010,0224,02,24,22:00:00,02/24/2010,1
CDAIR,20100224,2010,0224,02,24,23:00:00,02/24/2010,0
CDAIR,20100225,2010,0225,02,25,0:00:00,02/25/2010,0
CDAIR,20100225,2010,0225,02,25,1:00:00,02/25/2010,0
CDAIR,20100225,2010,0225,02,25,2:00:00,02/25/2010,0
CDAIR,20100225,2010,0225,02,25,3:00:00,02/25/2010,0
CDAIR,20100225,2010,0225,02,25,4:00:00,02/25/2010,0
CDAIR,20100301,2010,0301,03,01,1:00:00,03/01/2010,0
CDAIR,20100302,2010,0302,03,02,12:00:00,03/02/2010,1
CDAIR,20100302,2010,0302,03,02,13:00:00,03/02/2010,8
CDAIR,20100302,2010,0302,03,02,14:00:00,03/02/2010,4
CDAIR,20100302,2010,0302,03,02,15:00:00,03/02/2010,0
CDAIR,20100302,2010,0302,03,02,16:00:00,03/02/2010,3
CDAIR,20100302,2010,0302,03,02,17:00:00,03/02/2010,2
CDAIR,20100302,2010,0302,03,02,18:00:00,03/02/2010,4
CDAIR,20100302,2010,0302,03,02,19:00:00,03/02/2010,1
CDAIR,20100302,2010,0302,03,02,20:00:00,03/02/2010,1
CDAIR,20100302,2010,0302,03,02,21:00:00,03/02/2010,0
CDAIR,20100302,2010,0302,03,02,22:00:00,03/02/2010,0
CDAIR,20100302,2010,0302,03,02,23:00:00,03/02/2010,3
CDAIR,20100303,2010,0303,03,03,0:00:00,03/03/2010,1
CDAIR,20100303,2010,0303,03,03,1:00:00,03/03/2010,0
CDAIR,20100303,2010,0303,03,03,3:00:00,03/03/2010,0
CDAIR,20100308,2010,0308,03,08,8:00:00,03/08/2010,0
CDAIR,20100308,2010,0308,03,08,9:00:00,03/08/2010,0
CDAIR,20100310,2010,0310,03,10,4:00:00,03/10/2010,0
CDAIR,20100310,2010,0310,03,10,5:00:00,03/10/2010,0
CDAIR,20100310,2010,0310,03,10,6:00:00,03/10/2010,0
CDAIR,20100310,2010,0310,03,10,9:00:00,03/10/2010,0
CDAIR,20100310,2010,0310,03,10,10:00:00,03/10/2010,0
CDAIR,20100310,2010,0310,03,10,11:00:00,03/10/2010,1
CDAIR,20100310,2010,0310,03,10,16:00:00,03/10/2010,1
CDAIR,20100310,2010,0310,03,10,17:00:00,03/10/2010,4
CDAIR,20100310,2010,0310,03,10,18:00:00,03/10/2010,1
CDAIR,20100310,2010,0310,03,10,20:00:00,03/10/2010,1
CDAIR,20100310,2010,0310,03,10,21:00:00,03/10/2010,0
CDAIR,20100310,2010,0310,03,10,22:00:00,03/10/2010,1
CDAIR,20100310,2010,0310,03,10,23:00:00,03/10/2010,0
CDAIR,20100311,2010,0311,03,11,12:00:00,03/11/2010,0
CDAIR,20100311,2010,0311,03,11,13:00:00,03/11/2010,2
CDAIR,20100311,2010,0311,03,11,14:00:00,03/11/2010,2
CDAIR,20100311,2010,0311,03,11,15:00:00,03/11/2010,8
CDAIR,20100311,2010,0311,03,11,16:00:00,03/11/2010,5
CDAIR,20100311,2010,0311,03,11,17:00:00,03/11/2010,2
CDAIR,20100311,2010,0311,03,11,18:00:00,03/11/2010,0
CDAIR,20100311,2010,0311,03,11,22:00:00,03/11/2010,2
CDAIR,20100311,2010,0311,03,11,23:00:00,03/11/2010,1
CDAIR,20100312,2010,0312,03,12,5:00:00,03/12/2010,0
CDAIR,20100312,2010,0312,03,12,6:00:00,03/12/2010,0
CDAIR,20100312,2010,0312,03,12,9:00:00,03/12/2010,0
CDAIR,20100312,2010,0312,03,12,10:00:00,03/12/2010,1
CDAIR,20100312,2010,0312,03,12,19:00:00,03/12/2010,0
CDAIR,20100312,2010,0312,03,12,20:00:00,03/12/2010,37
CDAIR,20100312,2010,0312,03,12,21:00:00,03/12/2010,40
CDAIR,20100312,2010,0312,03,12,22:00:00,03/12/2010,22
CDAIR,20100312,2010,0312,03,12,23:00:00,03/12/2010,2
CDAIR,20100313,2010,0313,03,13,0:00:00,03/13/2010,1
CDAIR,20100313,2010,0313,03,13,14:00:00,03/13/2010,0
CDAIR,20100313,2010,0313,03,13,15:00:00,03/13/2010,0
CDAIR,20100313,2010,0313,03,13,16:00:00,03/13/2010,0
CDAIR,20100313,2010,0313,03,13,18:00:00,03/13/2010,6
CDAIR,20100313,2010,0313,03,13,19:00:00,03/13/2010,3
CDAIR,20100313,2010,0313,03,13,23:00:00,03/13/2010,0
CDAIR,20100314,2010,0314,03,14,0:00:00,03/14/2010,4
CDAIR,20100314,2010,0314,03,14,1:00:00,03/14/2010,14
CDAIR,20100314,2010,0314,03,14,2:00:00,03/14/2010,5
CDAIR,20100317,2010,0317,03,17,21:00:00,03/17/2010,0
CDAIR,20100317,2010,0317,03,17,22:00:00,03/17/2010,0
CDAIR,20100321,2010,0321,03,21,11:00:00,03/21/2010,1
CDAIR,20100321,2010,0321,03,21,12:00:00,03/21/2010,0
CDAIR,20100321,2010,0321,03,21,13:00:00,03/21/2010,7
CDAIR,20100321,2010,0321,03,21,14:00:00,03/21/2010,3
CDAIR,20100321,2010,0321,03,21,15:00:00,03/21/2010,4
CDAIR,20100321,2010,0321,03,21,16:00:00,03/21/2010,4
CDAIR,20100321,2010,0321,03,21,17:00:00,03/21/2010,4
CDAIR,20100321,2010,0321,03,21,18:00:00,03/21/2010,8
CDAIR,20100321,2010,0321,03,21,19:00:00,03/21/2010,1
CDAIR,20100321,2010,0321,03,21,20:00:00,03/21/2010,2
CDAIR,20100321,2010,0321,03,21,21:00:00,03/21/2010,0
CDAIR,20100321,2010,0321,03,21,23:00:00,03/21/2010,0
CDAIR,20100322,2010,0322,03,22,0:00:00,03/22/2010,0
CDAIR,20100322,2010,0322,03,22,1:00:00,03/22/2010,3
CDAIR,20100322,2010,0322,03,22,2:00:00,03/22/2010,12
CDAIR,20100322,2010,0322,03,22,12:00:00,03/22/2010,0
CDAIR,20100322,2010,0322,03,22,13:00:00,03/22/2010,1
CDAIR,20100322,2010,0322,03,22,14:00:00,03/22/2010,0
CDAIR,20100325,2010,0325,03,25,18:00:00,03/25/2010,1
CDAIR,20100325,2010,0325,03,25,19:00:00,03/25/2010,0
CDAIR,20100325,2010,0325,03,25,20:00:00,03/25/2010,0
CDAIR,20100325,2010,0325,03,25,22:00:00,03/25/2010,0
CDAIR,20100326,2010,0326,03,26,0:00:00,03/26/2010,0
CDAIR,20100326,2010,0326,03,26,1:00:00,03/26/2010,0
CDAIR,20100326,2010,0326,03,26,15:00:00,03/26/2010,0
CDAIR,20100326,2010,0326,03,26,16:00:00,03/26/2010,0
CDAIR,20100328,2010,0328,03,28,13:00:00,03/28/2010,0
CDAIR,20100328,2010,0328,03,28,14:00:00,03/28/2010,2
CDAIR,20100328,2010,0328,03,28,15:00:00,03/28/2010,0
CDAIR,20100328,2010,0328,03,28,16:00:00,03/28/2010,2
CDAIR,20100328,2010,0328,03,28,17:00:00,03/28/2010,1
CDAIR,20100328,2010,0328,03,28,18:00:00,03/28/2010,2
CDAIR,20100328,2010,0328,03,28,20:00:00,03/28/2010,0
CDAIR,20100328,2010,0328,03,28,21:00:00,03/28/2010,51
CDAIR,20100328,2010,0328,03,28,22:00:00,03/28/2010,51
CDAIR,20100328,2010,0328,03,28,23:00:00,03/28/2010,19
CDAIR,20100329,2010,0329,03,29,0:00:00,03/29/2010,31
CDAIR,20100329,2010,0329,03,29,1:00:00,03/29/2010,14
CDAIR,20100329,2010,0329,03,29,2:00:00,03/29/2010,12
CDAIR,20100329,2010,0329,03,29,3:00:00,03/29/2010,5
CDAIR,20100329,2010,0329,03,29,4:00:00,03/29/2010,0
CDAIR,20100329,2010,0329,03,29,5:00:00,03/29/2010,0
CDAIR,20100329,2010,0329,03,29,6:00:00,03/29/2010,2
CDAIR,20100329,2010,0329,03,29,7:00:00,03/29/2010,0
CDAIR,20100401,2010,0401,04,01,1:00:00,04/01/2010,0
CDAIR,20100408,2010,0408,04,08,13:00:00,04/08/2010,10
CDAIR,20100408,2010,0408,04,08,18:00:00,04/08/2010,0
CDAIR,20100408,2010,0408,04,08,19:00:00,04/08/2010,18
CDAIR,20100408,2010,0408,04,08,20:00:00,04/08/2010,5
CDAIR,20100408,2010,0408,04,08,21:00:00,04/08/2010,0
CDAIR,20100408,2010,0408,04,08,23:00:00,04/08/2010,0
CDAIR,20100409,2010,0409,04,09,6:00:00,04/09/2010,0
CDAIR,20100409,2010,0409,04,09,7:00:00,04/09/2010,2
CDAIR,20100420,2010,0420,04,20,15:00:00,04/20/2010,0
CDAIR,20100420,2010,0420,04,20,16:00:00,04/20/2010,0
CDAIR,20100420,2010,0420,04,20,17:00:00,04/20/2010,0
CDAIR,20100420,2010,0420,04,20,18:00:00,04/20/2010,0
CDAIR,20100420,2010,0420,04,20,19:00:00,04/20/2010,1
CDAIR,20100420,2010,0420,04,20,20:00:00,04/20/2010,4
CDAIR,20100420,2010,0420,04,20,21:00:00,04/20/2010,4
CDAIR,20100420,2010,0420,04,20,22:00:00,04/20/2010,2
CDAIR,20100420,2010,0420,04,20,23:00:00,04/20/2010,1
CDAIR,20100421,2010,0421,04,21,0:00:00,04/21/2010,2
CDAIR,20100421,2010,0421,04,21,2:00:00,04/21/2010,0
CDAIR,20100421,2010,0421,04,21,3:00:00,04/21/2010,0
CDAIR,20100423,2010,0423,04,23,5:00:00,04/23/2010,1
CDAIR,20100423,2010,0423,04,23,6:00:00,04/23/2010,1
CDAIR,20100423,2010,0423,04,23,7:00:00,04/23/2010,1
CDAIR,20100424,2010,0424,04,24,6:00:00,04/24/2010,0
CDAIR,20100424,2010,0424,04,24,7:00:00,04/24/2010,0
CDAIR,20100424,2010,0424,04,24,8:00:00,04/24/2010,0
CDAIR,20100424,2010,0424,04,24,15:00:00,04/24/2010,0
CDAIR,20100424,2010,0424,04,24,16:00:00,04/24/2010,0
CDAIR,20100424,2010,0424,04,24,17:00:00,04/24/2010,4
CDAIR,20100424,2010,0424,04,24,18:00:00,04/24/2010,4
CDAIR,20100424,2010,0424,04,24,19:00:00,04/24/2010,3
CDAIR,20100424,2010,0424,04,24,20:00:00,04/24/2010,5
CDAIR,20100424,2010,0424,04,24,21:00:00,04/24/2010,0
CDAIR,20100424,2010,0424,04,24,22:00:00,04/24/2010,1
CDAIR,20100424,2010,0424,04,24,23:00:00,04/24/2010,2
CDAIR,20100425,2010,0425,04,25,0:00:00,04/25/2010,13
CDAIR,20100425,2010,0425,04,25,1:00:00,04/25/2010,15
CDAIR,20100425,2010,0425,04,25,2:00:00,04/25/2010,1
CDAIR,20100425,2010,0425,04,25,3:00:00,04/25/2010,11
CDAIR,20100425,2010,0425,04,25,4:00:00,04/25/2010,2
CDAIR,20100425,2010,0425,04,25,5:00:00,04/25/2010,0
CDAIR,20100426,2010,0426,04,26,16:00:00,04/26/2010,1
CDAIR,20100427,2010,0427,04,27,12:00:00,04/27/2010,0
CDAIR,20100427,2010,0427,04,27,13:00:00,04/27/2010,1
CDAIR,20100427,2010,0427,04,27,14:00:00,04/27/2010,0
CDAIR,20100427,2010,0427,04,27,15:00:00,04/27/2010,9
CDAIR,20100427,2010,0427,04,27,17:00:00,04/27/2010,1
CDAIR,20100427,2010,0427,04,27,18:00:00,04/27/2010,12
CDAIR,20100427,2010,0427,04,27,19:00:00,04/27/2010,7
CDAIR,20100427,2010,0427,04,27,21:00:00,04/27/2010,0
CDAIR,20100427,2010,0427,04,27,22:00:00,04/27/2010,0
CDAIR,20100501,2010,0501,05,01,1:00:00,05/01/2010,0
CDAIR,20100501,2010,0501,05,01,18:00:00,05/01/2010,0
CDAIR,20100503,2010,0503,05,03,8:00:00,05/03/2010,2
CDAIR,20100503,2010,0503,05,03,9:00:00,05/03/2010,14
CDAIR,20100503,2010,0503,05,03,10:00:00,05/03/2010,2
CDAIR,20100503,2010,0503,05,03,11:00:00,05/03/2010,1
CDAIR,20100503,2010,0503,05,03,12:00:00,05/03/2010,0
CDAIR,20100503,2010,0503,05,03,13:00:00,05/03/2010,0
CDAIR,20100503,2010,0503,05,03,14:00:00,05/03/2010,2
CDAIR,20100503,2010,0503,05,03,15:00:00,05/03/2010,2
CDAIR,20100503,2010,0503,05,03,16:00:00,05/03/2010,0
CDAIR,20100510,2010,0510,05,10,19:00:00,05/10/2010,0
CDAIR,20100510,2010,0510,05,10,20:00:00,05/10/2010,0
CDAIR,20100510,2010,0510,05,10,21:00:00,05/10/2010,0
CDAIR,20100510,2010,0510,05,10,22:00:00,05/10/2010,0
CDAIR,20100511,2010,0511,05,11,3:00:00,05/11/2010,0
CDAIR,20100511,2010,0511,05,11,10:00:00,05/11/2010,13
CDAIR,20100511,2010,0511,05,11,11:00:00,05/11/2010,3
CDAIR,20100511,2010,0511,05,11,12:00:00,05/11/2010,0
CDAIR,20100514,2010,0514,05,14,23:00:00,05/14/2010,3
CDAIR,20100516,2010,0516,05,16,18:00:00,05/16/2010,1
CDAIR,20100516,2010,0516,05,16,20:00:00,05/16/2010,2
CDAIR,20100516,2010,0516,05,16,21:00:00,05/16/2010,4
CDAIR,20100516,2010,0516,05,16,22:00:00,05/16/2010,4
CDAIR,20100516,2010,0516,05,16,23:00:00,05/16/2010,3
CDAIR,20100517,2010,0517,05,17,0:00:00,05/17/2010,33
CDAIR,20100517,2010,0517,05,17,1:00:00,05/17/2010,1
CDAIR,20100517,2010,0517,05,17,2:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,3:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,4:00:00,05/17/2010,1
CDAIR,20100517,2010,0517,05,17,5:00:00,05/17/2010,11
CDAIR,20100517,2010,0517,05,17,6:00:00,05/17/2010,12
CDAIR,20100517,2010,0517,05,17,7:00:00,05/17/2010,5
CDAIR,20100517,2010,0517,05,17,8:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,9:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,10:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,11:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,12:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,16:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,17:00:00,05/17/2010,0
CDAIR,20100517,2010,0517,05,17,18:00:00,05/17/2010,5
