Code,Long,Year,MonDay,Month,Day,Hour,Date,RainDepth
CDAIR,20100427,2010,427,4,27,5,4/27/10,1
CDAIR,20100427,2010,427,4,27,6,4/27/10,12
CDAIR,20100427,2010,427,4,27,7,4/27/10,7
CDAIR,20100427,2010,427,4,27,9,4/27/10,0
CDAIR,20100427,2010,427,4,27,10,4/27/10,0
CDAIR,20100501,2010,501,5,1,1,5/1/10,0
CDAIR,20100501,2010,501,5,1,6,5/1/10,0
CDAIR,20100503,2010,503,5,3,8,5/3/10,2
CDAIR,20100503,2010,503,5,3,9,5/3/10,14
CDAIR,20100503,2010,503,5,3,10,5/3/10,2
CDAIR,20100503,2010,503,5,3,11,5/3/10,1
CDAIR,20100503,2010,503,5,3,12,5/3/10,0
CDAIR,20100503,2010,503,5,3,1,5/3/10,0
CDAIR,20100503,2010,503,5,3,2,5/3/10,2
CDAIR,20100503,2010,503,5,3,3,5/3/10,2
CDAIR,20100503,2010,503,5,3,4,5/3/10,0
CDAIR,20100510,2010,510,5,10,7,5/10/10,0
CDAIR,20100510,2010,510,5,10,8,5/10/10,0
CDAIR,20100510,2010,510,5,10,9,5/10/10,0
CDAIR,20100510,2010,510,5,10,10,5/10/10,0
CDAIR,20100511,2010,511,5,11,3,5/11/10,0
CDAIR,20100511,2010,511,5,11,10,5/11/10,13
CDAIR,20100511,2010,511,5,11,11,5/11/10,3
CDAIR,20100511,2010,511,5,11,12,5/11/10,0
CDAIR,20100514,2010,514,5,14,11,5/14/10,3
CDAIR,20100516,2010,516,5,16,6,5/16/10,1
CDAIR,20100516,2010,516,5,16,8,5/16/10,2
CDAIR,20100516,2010,516,5,16,9,5/16/10,4
CDAIR,20100516,2010,516,5,16,10,5/16/10,4
CDAIR,20100516,2010,516,5,16,11,5/16/10,3
CDAIR,20100517,2010,517,5,17,12,5/17/10,33
CDAIR,20100517,2010,517,5,17,1,5/17/10,1
CDAIR,20100517,2010,517,5,17,2,5/17/10,0
CDAIR,20100517,2010,517,5,17,3,5/17/10,0
CDAIR,20100517,2010,517,5,17,4,5/17/10,1
CDAIR,20100517,2010,517,5,17,5,5/17/10,11
CDAIR,20100517,2010,517,5,17,6,5/17/10,12
CDAIR,20100517,2010,517,5,17,7,5/17/10,5
CDAIR,20100517,2010,517,5,17,8,5/17/10,0
CDAIR,20100517,2010,517,5,17,9,5/17/10,0
CDAIR,20100517,2010,517,5,17,10,5/17/10,0
CDAIR,20100517,2010,517,5,17,11,5/17/10,0
CDAIR,20100517,2010,517,5,17,12,5/17/10,0
CDAIR,20100517,2010,517,5,17,4,5/17/10,0
CDAIR,20100517,2010,517,5,17,5,5/17/10,0
CDAIR,20100517,2010,517,5,17,6,5/17/10,5
CDAIR,20100517,2010,517,5,17,7,5/17/10,11
CDAIR,20100517,2010,517,5,17,8,5/17/10,0
CDAIR,20100518,2010,518,5,18,1,5/18/10,0
CDAIR,20100518,2010,518,5,18,2,5/18/10,0
CDAIR,20100518,2010,518,5,18,6,5/18/10,0
CDAIR,20100518,2010,518,5,18,7,5/18/10,0
CDAIR,20100518,2010,518,5,18,9,5/18/10,0
CDAIR,20100519,2010,519,5,19,9,5/19/10,0
CDAIR,20100519,2010,519,5,19,11,5/19/10,0
CDAIR,20100521,2010,521,5,21,1,5/21/10,0
CDAIR,20100521,2010,521,5,21,2,5/21/10,0
CDAIR,20100521,2010,521,5,21,5,5/21/10,2
CDAIR,20100521,2010,521,5,21,6,5/21/10,18
CDAIR,20100522,2010,522,5,22,9,5/22/10,0
CDAIR,20100522,2010,522,5,22,12,5/22/10,0
CDAIR,20100524,2010,524,5,24,12,5/24/10,0
CDAIR,20100524,2010,524,5,24,1,5/24/10,13
CDAIR,20100524,2010,524,5,24,2,5/24/10,0
CDAIR,20100524,2010,524,5,24,3,5/24/10,10
CDAIR,20100524,2010,524,5,24,5,5/24/10,0
CDAIR,20100524,2010,524,5,24,6,5/24/10,0
CDAIR,20100524,2010,524,5,24,8,5/24/10,0
CDAIR,20100524,2010,524,5,24,9,5/24/10,1
CDAIR,20100525,2010,525,5,25,1,5/25/10,0
CDAIR,20100525,2010,525,5,25,2,5/25/10,0
CDAIR,20100525,2010,525,5,25,7,5/25/10,0
CDAIR,20100525,2010,525,5,25,8,5/25/10,0
CDAIR,20100528,2010,528,5,28,4,5/28/10,5
CDAIR,20100528,2010,528,5,28,6,5/28/10,0
CDAIR,20100528,2010,528,5,28,7,5/28/10,0
CDAIR,20100528,2010,528,5,28,8,5/28/10,6
CDAIR,20100528,2010,528,5,28,9,5/28/10,43
CDAIR,20100528,2010,528,5,28,10,5/28/10,17
CDAIR,20100528,2010,528,5,28,11,5/28/10,12
CDAIR,20100529,2010,529,5,29,12,5/29/10,1
CDAIR,20100529,2010,529,5,29,1,5/29/10,4
CDAIR,20100529,2010,529,5,29,2,5/29/10,0
CDAIR,20100529,2010,529,5,29,3,5/29/10,0
CDAIR,20100529,2010,529,5,29,7,5/29/10,1
CDAIR,20100529,2010,529,5,29,8,5/29/10,0
CDAIR,20100531,2010,531,5,31,9,5/31/10,0
CDAIR,20100531,2010,531,5,31,10,5/31/10,24
CDAIR,20100531,2010,531,5,31,11,5/31/10,3
CDAIR,20100531,2010,531,5,31,12,5/31/10,9
CDAIR,20100531,2010,531,5,31,1,5/31/10,3
CDAIR,20100531,2010,531,5,31,2,5/31/10,13
CDAIR,20100531,2010,531,5,31,3,5/31/10,11
CDAIR,20100531,2010,531,5,31,4,5/31/10,6
CDAIR,20100601,2010,601,6,1,12,6/1/10,0
CDAIR,20100601,2010,601,6,1,1,6/1/10,0
CDAIR,20100601,2010,601,6,1,2,6/1/10,70
CDAIR,20100601,2010,601,6,1,3,6/1/10,55
CDAIR,20100601,2010,601,6,1,4,6/1/10,0
CDAIR,20100601,2010,601,6,1,10,6/1/10,44
CDAIR,20100601,2010,601,6,1,6,6/1/10,0
CDAIR,20100601,2010,601,6,1,7,6/1/10,0
CDAIR,20100601,2010,601,6,1,8,6/1/10,0
CDAIR,20100602,2010,602,6,2,5,6/2/10,18
CDAIR,20100602,2010,602,6,2,6,6/2/10,67
CDAIR,20100602,2010,602,6,2,7,6/2/10,1
CDAIR,20100602,2010,602,6,2,8,6/2/10,1
CDAIR,20100604,2010,604,6,4,7,6/4/10,0
CDAIR,20100604,2010,604,6,4,8,6/4/10,0
CDAIR,20100605,2010,605,6,5,5,6/5/10,3
CDAIR,20100606,2010,606,6,6,8,6/6/10,5
CDAIR,20100606,2010,606,6,6,9,6/6/10,0
CDAIR,20100609,2010,609,6,9,6,6/9/10,0
CDAIR,20100610,2010,610,6,10,5,6/10/10,16
CDAIR,20100610,2010,610,6,10,6,6/10/10,0
CDAIR,20100613,2010,613,6,13,5,6/13/10,0
CDAIR,20100613,2010,613,6,13,6,6/13/10,0
CDAIR,20100613,2010,613,6,13,8,6/13/10,0
CDAIR,20100613,2010,613,6,13,9,6/13/10,0
CDAIR,20100615,2010,615,6,15,4,6/15/10,0
CDAIR,20100616,2010,616,6,16,10,6/16/10,0
CDAIR,20100616,2010,616,6,16,11,6/16/10,0
CDAIR,20100626,2010,626,6,26,2,6/26/10,0
CDAIR,20100629,2010,629,6,29,2,6/29/10,0
CDAIR,20100629,2010,629,6,29,3,6/29/10,6
CDAIR,20100629,2010,629,6,29,4,6/29/10,1
CDAIR,20100629,2010,629,6,29,5,6/29/10,0
CDAIR,20100629,2010,629,6,29,11,6/29/10,1
CDAIR,20100630,2010,630,6,30,12,6/30/10,0
CDAIR,20100630,2010,630,6,30,1,6/30/10,0
CDAIR,20100630,2010,630,6,30,2,6/30/10,0
CDAIR,20100630,2010,630,6,30,3,6/30/10,0
CDAIR,20100630,2010,630,6,30,4,6/30/10,1
CDAIR,20100630,2010,630,6,30,5,6/30/10,0
CDAIR,20100630,2010,630,6,30,6,6/30/10,0
CDAIR,20100630,2010,630,6,30,7,6/30/10,0
CDAIR,20100630,2010,630,6,30,10,6/30/10,0
CDAIR,20100630,2010,630,6,30,12,6/30/10,0
CDAIR,20100701,2010,701,7,1,1,7/1/10,0
CDAIR,20100709,2010,709,7,9,8,7/9/10,0
CDAIR,20100709,2010,709,7,9,9,7/9/10,1
CDAIR,20100710,2010,710,7,10,2,7/10/10,0
CDAIR,20100710,2010,710,7,10,3,7/10/10,0
CDAIR,20100712,2010,712,7,12,1,7/12/10,142
CDAIR,20100712,2010,712,7,12,2,7/12/10,0
CDAIR,20100712,2010,712,7,12,3,7/12/10,12
CDAIR,20100712,2010,712,7,12,4,7/12/10,0
CDAIR,20100712,2010,712,7,12,7,7/12/10,1
CDAIR,20100712,2010,712,7,12,8,7/12/10,1
CDAIR,20100713,2010,713,7,13,9,7/13/10,0
CDAIR,20100713,2010,713,7,13,9,7/13/10,0
CDAIR,20100713,2010,713,7,13,11,7/13/10,0
CDAIR,20100714,2010,714,7,14,12,7/14/10,0
CDAIR,20100716,2010,716,7,16,4,7/16/10,8
CDAIR,20100716,2010,716,7,16,5,7/16/10,0
CDAIR,20100717,2010,717,7,17,5,7/17/10,0
CDAIR,20100717,2010,717,7,17,6,7/17/10,0
CDAIR,20100717,2010,717,7,17,8,7/17/10,0
CDAIR,20100717,2010,717,7,17,9,7/17/10,3
CDAIR,20100717,2010,717,7,17,11,7/17/10,0
CDAIR,20100718,2010,718,7,18,2,7/18/10,0
CDAIR,20100718,2010,718,7,18,6,7/18/10,0
CDAIR,20100718,2010,718,7,18,7,7/18/10,7
CDAIR,20100718,2010,718,7,18,8,7/18/10,1
CDAIR,20100718,2010,718,7,18,9,7/18/10,0
CDAIR,20100719,2010,719,7,19,2,7/19/10,32
CDAIR,20100721,2010,721,7,21,8,7/21/10,0
CDAIR,20100721,2010,721,7,21,9,7/21/10,0
CDAIR,20100724,2010,724,7,24,3,7/24/10,0
CDAIR,20100724,2010,724,7,24,4,7/24/10,0
CDAIR,20100725,2010,725,7,25,8,7/25/10,1
CDAIR,20100725,2010,725,7,25,9,7/25/10,0
CDAIR,20100727,2010,727,7,27,9,7/27/10,0
CDAIR,20100727,2010,727,7,27,5,7/27/10,2
CDAIR,20100727,2010,727,7,27,6,7/27/10,4
CDAIR,20100727,2010,727,7,27,7,7/27/10,0
CDAIR,20100728,2010,728,7,28,10,7/28/10,3
CDAIR,20100728,2010,728,7,28,11,7/28/10,1
CDAIR,20100728,2010,728,7,28,12,7/28/10,0
CDAIR,20100731,2010,731,7,31,1,7/31/10,1
CDAIR,20100731,2010,731,7,31,2,7/31/10,1
CDAIR,20100731,2010,731,7,31,3,7/31/10,0
CDAIR,20100731,2010,731,7,31,4,7/31/10,0
CDAIR,20100731,2010,731,7,31,5,7/31/10,0
CDAIR,20100731,2010,731,7,31,6,7/31/10,26
CDAIR,20100731,2010,731,7,31,7,7/31/10,0
CDAIR,20100731,2010,731,7,31,8,7/31/10,1
CDAIR,20100801,2010,801,8,1,12,8/1/10,0
CDAIR,20100801,2010,801,8,1,1,8/1/10,0
CDAIR,20100801,2010,801,8,1,2,8/1/10,3
CDAIR,20100801,2010,801,8,1,3,8/1/10,20
CDAIR,20100805,2010,805,8,5,5,8/5/10,2
CDAIR,20100805,2010,805,8,5,7,8/5/10,12
CDAIR,20100805,2010,805,8,5,8,8/5/10,5
CDAIR,20100805,2010,805,8,5,9,8/5/10,2
CDAIR,20100806,2010,806,8,6,9,8/6/10,83
CDAIR,20100806,2010,806,8,6,10,8/6/10,8
CDAIR,20100814,2010,814,8,14,8,8/14/10,0
CDAIR,20100814,2010,814,8,14,9,8/14/10,98
CDAIR,20100814,2010,814,8,14,10,8/14/10,26
CDAIR,20100814,2010,814,8,14,11,8/14/10,7
CDAIR,20100815,2010,815,8,15,12,8/15/10,0
CDAIR,20100815,2010,815,8,15,9,8/15/10,2
CDAIR,20100815,2010,815,8,15,1,8/15/10,1
CDAIR,20100815,2010,815,8,15,2,8/15/10,0
CDAIR,20100817,2010,817,8,17,2,8/17/10,0
CDAIR,20100817,2010,817,8,17,3,8/17/10,0
CDAIR,20100818,2010,818,8,18,7,8/18/10,9
CDAIR,20100818,2010,818,8,18,8,8/18/10,0
CDAIR,20100818,2010,818,8,18,9,8/18/10,0
CDAIR,20100818,2010,818,8,18,11,8/18/10,0
CDAIR,20100819,2010,819,8,19,1,8/19/10,1
CDAIR,20100819,2010,819,8,19,2,8/19/10,2
CDAIR,20100819,2010,819,8,19,3,8/19/10,0
CDAIR,20100819,2010,819,8,19,4,8/19/10,29
CDAIR,20100819,2010,819,8,19,5,8/19/10,102
CDAIR,20100819,2010,819,8,19,6,8/19/10,7
CDAIR,20100819,2010,819,8,19,7,8/19/10,7
CDAIR,20100819,2010,819,8,19,3,8/19/10,35
CDAIR,20100819,2010,819,8,19,4,8/19/10,6
CDAIR,20100819,2010,819,8,19,5,8/19/10,6
CDAIR,20100819,2010,819,8,19,6,8/19/10,0
CDAIR,20100819,2010,819,8,19,7,8/19/10,1
CDAIR,20100828,2010,828,8,28,10,8/28/10,1
CDAIR,20100828,2010,828,8,28,11,8/28/10,0
CDAIR,20100901,2010,901,9,1,1,9/1/10,0
CDAIR,20100908,2010,908,9,8,3,9/8/10,0
CDAIR,20100908,2010,908,9,8,4,9/8/10,0
CDAIR,20100911,2010,911,9,11,10,9/11/10,0
CDAIR,20100911,2010,911,9,11,12,9/11/10,0
CDAIR,20100911,2010,911,9,11,1,9/11/10,5
CDAIR,20100911,2010,911,9,11,2,9/11/10,7
CDAIR,20100911,2010,911,9,11,3,9/11/10,2
CDAIR,20100911,2010,911,9,11,4,9/11/10,0
CDAIR,20100912,2010,912,9,12,12,9/12/10,0
CDAIR,20100912,2010,912,9,12,1,9/12/10,0
CDAIR,20100912,2010,912,9,12,2,9/12/10,0
CDAIR,20100922,2010,922,9,22,7,9/22/10,0
CDAIR,20100922,2010,922,9,22,8,9/22/10,0
CDAIR,20100925,2010,925,9,25,7,9/25/10,11
CDAIR,20100925,2010,925,9,25,8,9/25/10,0
CDAIR,20100925,2010,925,9,25,9,9/25/10,0
CDAIR,20100926,2010,926,9,26,11,9/26/10,27
CDAIR,20100926,2010,926,9,26,12,9/26/10,8
CDAIR,20100926,2010,926,9,26,1,9/26/10,6
CDAIR,20100926,2010,926,9,26,2,9/26/10,1
CDAIR,20100926,2010,926,9,26,3,9/26/10,0
CDAIR,20100926,2010,926,9,26,4,9/26/10,0
CDAIR,20100926,2010,926,9,26,5,9/26/10,0
CDAIR,20100926,2010,926,9,26,6,9/26/10,3
CDAIR,20100926,2010,926,9,26,7,9/26/10,2
CDAIR,20100926,2010,926,9,26,8,9/26/10,6
CDAIR,20100926,2010,926,9,26,9,9/26/10,11
CDAIR,20100926,2010,926,9,26,10,9/26/10,28
CDAIR,20100926,2010,926,9,26,11,9/26/10,67
CDAIR,20100927,2010,927,9,27,12,9/27/10,27
CDAIR,20100927,2010,927,9,27,1,9/27/10,6
CDAIR,20100927,2010,927,9,27,2,9/27/10,1
CDAIR,20100927,2010,927,9,27,3,9/27/10,1
CDAIR,20100927,2010,927,9,27,4,9/27/10,1
CDAIR,20100927,2010,927,9,27,5,9/27/10,2
CDAIR,20100927,2010,927,9,27,6,9/27/10,0
CDAIR,20100927,2010,927,9,27,8,9/27/10,1
CDAIR,20100927,2010,927,9,27,9,9/27/10,0
CDAIR,20100927,2010,927,9,27,10,9/27/10,2
CDAIR,20100927,2010,927,9,27,11,9/27/10,0
CDAIR,20100927,2010,927,9,27,12,9/27/10,6
CDAIR,20100927,2010,927,9,27,2,9/27/10,12
CDAIR,20100927,2010,927,9,27,3,9/27/10,39
CDAIR,20100927,2010,927,9,27,4,9/27/10,7
CDAIR,20100927,2010,927,9,27,5,9/27/10,5
CDAIR,20100927,2010,927,9,27,6,9/27/10,3
CDAIR,20100927,2010,927,9,27,7,9/27/10,0
CDAIR,20100927,2010,927,9,27,8,9/27/10,0
CDAIR,20100927,2010,927,9,27,9,9/27/10,0
CDAIR,20100927,2010,927,9,27,10,9/27/10,0
CDAIR,20100927,2010,927,9,27,11,9/27/10,55
CDAIR,20100928,2010,928,9,28,12,9/28/10,0
CDAIR,20100929,2010,929,9,29,5,9/29/10,0
CDAIR,20100929,2010,929,9,29,6,9/29/10,12
CDAIR,20100929,2010,929,9,29,7,9/29/10,9
CDAIR,20100929,2010,929,9,29,8,9/29/10,10
CDAIR,20100929,2010,929,9,29,9,9/29/10,2
CDAIR,20100929,2010,929,9,29,1,9/29/10,1
CDAIR,20100929,2010,929,9,29,2,9/29/10,2
CDAIR,20100929,2010,929,9,29,3,9/29/10,0
CDAIR,20100929,2010,929,9,29,4,9/29/10,0
CDAIR,20100929,2010,929,9,29,6,9/29/10,1
CDAIR,20100929,2010,929,9,29,7,9/29/10,12
CDAIR,20100929,2010,929,9,29,8,9/29/10,5
CDAIR,20100929,2010,929,9,29,9,9/29/10,3
CDAIR,20100929,2010,929,9,29,10,9/29/10,1
CDAIR,20100929,2010,929,9,29,11,9/29/10,2
CDAIR,20100930,2010,930,9,30,12,9/30/10,2
CDAIR,20100930,2010,930,9,30,1,9/30/10,0
CDAIR,20100930,2010,930,9,30,2,9/30/10,0
CDAIR,20100930,2010,930,9,30,3,9/30/10,1
CDAIR,20100930,2010,930,9,30,10,9/30/10,0
CDAIR,20100930,2010,930,9,30,11,9/30/10,3
CDAIR,20101001,2010,1001,10,1,12,10/1/10,0
CDAIR,20101001,2010,1001,10,1,1,10/1/10,0
CDAIR,20101003,2010,1003,10,3,6,10/3/10,0
CDAIR,20101003,2010,1003,10,3,7,10/3/10,0
CDAIR,20101004,2010,1004,10,4,12,10/4/10,0
CDAIR,20101004,2010,1004,10,4,1,10/4/10,0
CDAIR,20101004,2010,1004,10,4,2,10/4/10,1
CDAIR,20101004,2010,1004,10,4,3,10/4/10,0
CDAIR,20101004,2010,1004,10,4,4,10/4/10,0
CDAIR,20101004,2010,1004,10,4,5,10/4/10,0
CDAIR,20101004,2010,1004,10,4,6,10/4/10,1
CDAIR,20101004,2010,1004,10,4,7,10/4/10,0
CDAIR,20101004,2010,1004,10,4,8,10/4/10,0
CDAIR,20101014,2010,1014,10,14,6,10/14/10,8
CDAIR,20101014,2010,1014,10,14,7,10/14/10,1
CDAIR,20101014,2010,1014,10,14,11,10/14/10,0
CDAIR,20101014,2010,1014,10,14,12,10/14/10,0
CDAIR,20101020,2010,1020,10,20,7,10/20/10,0
CDAIR,20101020,2010,1020,10,20,8,10/20/10,0
CDAIR,20101020,2010,1020,10,20,9,10/20/10,6
CDAIR,20101020,2010,1020,10,20,10,10/20/10,4
CDAIR,20101020,2010,1020,10,20,11,10/20/10,0
CDAIR,20101020,2010,1020,10,20,12,10/20/10,0
CDAIR,20101025,2010,1025,10,25,8,10/25/10,1
CDAIR,20101025,2010,1025,10,25,9,10/25/10,1
CDAIR,20101025,2010,1025,10,25,10,10/25/10,3
CDAIR,20101025,2010,1025,10,25,11,10/25/10,11
CDAIR,20101025,2010,1025,10,25,12,10/25/10,0
CDAIR,20101025,2010,1025,10,25,1,10/25/10,2
CDAIR,20101025,2010,1025,10,25,2,10/25/10,1
CDAIR,20101026,2010,1026,10,26,1,10/26/10,0
CDAIR,20101026,2010,1026,10,26,2,10/26/10,2
CDAIR,20101026,2010,1026,10,26,3,10/26/10,0
CDAIR,20101026,2010,1026,10,26,5,10/26/10,1
CDAIR,20101026,2010,1026,10,26,6,10/26/10,0
CDAIR,20101026,2010,1026,10,26,7,10/26/10,0
CDAIR,20101026,2010,1026,10,26,4,10/26/10,0
CDAIR,20101027,2010,1027,10,27,3,10/27/10,0
CDAIR,20101027,2010,1027,10,27,4,10/27/10,13
CDAIR,20101027,2010,1027,10,27,5,10/27/10,0
CDAIR,20101027,2010,1027,10,27,8,10/27/10,44
CDAIR,20101027,2010,1027,10,27,9,10/27/10,13
CDAIR,20101101,2010,1101,11,1,1,11/1/10,0
CDAIR,20101103,2010,1103,11,3,10,11/3/10,0
CDAIR,20101103,2010,1103,11,3,11,11/3/10,0
CDAIR,20101103,2010,1103,11,3,12,11/3/10,0
CDAIR,20101103,2010,1103,11,3,2,11/3/10,0
CDAIR,20101103,2010,1103,11,3,3,11/3/10,0
CDAIR,20101103,2010,1103,11,3,4,11/3/10,0
CDAIR,20101103,2010,1103,11,3,7,11/3/10,0
CDAIR,20101103,2010,1103,11,3,8,11/3/10,0
CDAIR,20101103,2010,1103,11,3,9,11/3/10,5
CDAIR,20101103,2010,1103,11,3,10,11/3/10,0
CDAIR,20101103,2010,1103,11,3,11,11/3/10,0
CDAIR,20101104,2010,1104,11,4,12,11/4/10,0
CDAIR,20101104,2010,1104,11,4,1,11/4/10,0
CDAIR,20101104,2010,1104,11,4,2,11/4/10,3
CDAIR,20101104,2010,1104,11,4,3,11/4/10,3
CDAIR,20101104,2010,1104,11,4,4,11/4/10,3
CDAIR,20101104,2010,1104,11,4,5,11/4/10,3
CDAIR,20101104,2010,1104,11,4,6,11/4/10,6
CDAIR,20101104,2010,1104,11,4,7,11/4/10,6
CDAIR,20101104,2010,1104,11,4,8,11/4/10,3
CDAIR,20101104,2010,1104,11,4,9,11/4/10,9
CDAIR,20101104,2010,1104,11,4,10,11/4/10,6
CDAIR,20101104,2010,1104,11,4,11,11/4/10,4
CDAIR,20101104,2010,1104,11,4,12,11/4/10,1
CDAIR,20101104,2010,1104,11,4,1,11/4/10,0
CDAIR,20101105,2010,1105,11,5,2,11/5/10,0
CDAIR,20101105,2010,1105,11,5,3,11/5/10,0
CDAIR,20101105,2010,1105,11,5,4,11/5/10,0
CDAIR,20101105,2010,1105,11,5,7,11/5/10,0
CDAIR,20101115,2010,1115,11,15,12,11/15/10,0
CDAIR,20101115,2010,1115,11,15,1,11/15/10,0
CDAIR,20101115,2010,1115,11,15,2,11/15/10,0
CDAIR,20101115,2010,1115,11,15,3,11/15/10,0
CDAIR,20101115,2010,1115,11,15,7,11/15/10,0
CDAIR,20101115,2010,1115,11,15,8,11/15/10,0
CDAIR,20101116,2010,1116,11,16,5,11/16/10,0
CDAIR,20101116,2010,1116,11,16,6,11/16/10,0
CDAIR,20101116,2010,1116,11,16,11,11/16/10,1
CDAIR,20101116,2010,1116,11,16,12,11/16/10,0
CDAIR,20101116,2010,1116,11,16,1,11/16/10,3
CDAIR,20101116,2010,1116,11,16,2,11/16/10,1
CDAIR,20101116,2010,1116,11,16,3,11/16/10,0
CDAIR,20101116,2010,1116,11,16,4,11/16/10,0
CDAIR,20101116,2010,1116,11,16,5,11/16/10,0
CDAIR,20101116,2010,1116,11,16,9,11/16/10,0
CDAIR,20101116,2010,1116,11,16,10,11/16/10,0
CDAIR,20101123,2010,1123,11,23,5,11/23/10,3
CDAIR,20101123,2010,1123,11,23,6,11/23/10,1
CDAIR,20101123,2010,1123,11,23,7,11/23/10,1
CDAIR,20101123,2010,1123,11,23,8,11/23/10,0
CDAIR,20101125,2010,1125,11,25,7,11/25/10,0
CDAIR,20101125,2010,1125,11,25,8,11/25/10,0
CDAIR,20101125,2010,1125,11,25,9,11/25/10,4
CDAIR,20101125,2010,1125,11,25,10,11/25/10,0
CDAIR,20101125,2010,1125,11,25,11,11/25/10,1
CDAIR,20101125,2010,1125,11,25,12,11/25/10,0
CDAIR,20101126,2010,1126,11,26,7,11/26/10,7
CDAIR,20101126,2010,1126,11,26,8,11/26/10,9
CDAIR,20101126,2010,1126,11,26,9,11/26/10,1
CDAIR,20101126,2010,1126,11,26,10,11/26/10,0
CDAIR,20101126,2010,1126,11,26,12,11/26/10,0
CDAIR,20101126,2010,1126,11,26,1,11/26/10,0
CDAIR,20101126,2010,1126,11,26,6,11/26/10,0
CDAIR,20101126,2010,1126,11,26,7,11/26/10,0
CDAIR,20101126,2010,1126,11,26,8,11/26/10,0
CDAIR,20101130,2010,1130,11,30,12,11/30/10,0
CDAIR,20101130,2010,1130,11,30,1,11/30/10,2
CDAIR,20101130,2010,1130,11,30,2,11/30/10,2
CDAIR,20101130,2010,1130,11,30,3,11/30/10,0
CDAIR,20101130,2010,1130,11,30,4,11/30/10,1
CDAIR,20101130,2010,1130,11,30,5,11/30/10,1
CDAIR,20101130,2010,1130,11,30,6,11/30/10,4
CDAIR,20101130,2010,1130,11,30,7,11/30/10,1
CDAIR,20101130,2010,1130,11,30,8,11/30/10,0
CDAIR,20101130,2010,1130,11,30,9,11/30/10,0
CDAIR,20101130,2010,1130,11,30,10,11/30/10,0
CDAIR,20101130,2010,1130,11,30,11,11/30/10,0
CDAIR,20101130,2010,1130,11,30,12,11/30/10,1
CDAIR,20101130,2010,1130,11,30,1,11/30/10,2
CDAIR,20101130,2010,1130,11,30,2,11/30/10,3
CDAIR,20101130,2010,1130,11,30,3,11/30/10,0
CDAIR,20101130,2010,1130,11,30,4,11/30/10,0
CDAIR,20101130,2010,1130,11,30,6,11/30/10,0
CDAIR,20101130,2010,1130,11,30,7,11/30/10,1
CDAIR,20101130,2010,1130,11,30,8,11/30/10,1
CDAIR,20101130,2010,1130,11,30,9,11/30/10,0
CDAIR,20101130,2010,1130,11,30,10,11/30/10,4
CDAIR,20101201,2010,1201,12,1,12,12/1/10,31
CDAIR,20101201,2010,1201,12,1,1,12/1/10,33
